generation	n_individuals	mean_p_NULL	n_SI	n_pSI1	n_pSI2	n_pSI3	n_SC	BL	replicate	scenario
0	5	0.05	4	1	0	0	0	BL1	0	baseline
1	5	0.15	2	3	0	0	0	BL1	0	baseline
2	5	0.15	2	3	0	0	0	BL1	0	baseline
3	5	0.0	5	0	0	0	0	BL1	0	baseline
4	5	0.0	5	0	0	0	0	BL1	0	baseline
5	5	0.0	5	0	0	0	0	BL1	0	baseline
6	5	0.0	5	0	0	0	0	BL1	0	baseline
7	5	0.0	5	0	0	0	0	BL1	0	baseline
8	5	0.0	5	0	0	0	0	BL1	0	baseline
9	5	0.0	5	0	0	0	0	BL1	0	baseline
10	5	0.0	5	0	0	0	0	BL1	0	baseline
11	5	0.0	5	0	0	0	0	BL1	0	baseline
12	5	0.0	5	0	0	0	0	BL1	0	baseline
13	5	0.0	5	0	0	0	0	BL1	0	baseline
14	5	0.0	5	0	0	0	0	BL1	0	baseline
15	5	0.0	5	0	0	0	0	BL1	0	baseline
16	5	0.0	5	0	0	0	0	BL1	0	baseline
17	5	0.0	5	0	0	0	0	BL1	0	baseline
18	5	0.0	5	0	0	0	0	BL1	0	baseline
19	5	0.0	5	0	0	0	0	BL1	0	baseline
20	5	0.0	5	0	0	0	0	BL1	0	baseline
21	5	0.0	5	0	0	0	0	BL1	0	baseline
22	5	0.0	5	0	0	0	0	BL1	0	baseline
23	5	0.0	5	0	0	0	0	BL1	0	baseline
24	5	0.0	5	0	0	0	0	BL1	0	baseline
25	5	0.0	5	0	0	0	0	BL1	0	baseline
26	5	0.0	5	0	0	0	0	BL1	0	baseline
27	5	0.0	5	0	0	0	0	BL1	0	baseline
28	5	0.0	5	0	0	0	0	BL1	0	baseline
29	5	0.0	5	0	0	0	0	BL1	0	baseline
30	5	0.0	5	0	0	0	0	BL1	0	baseline
31	5	0.0	5	0	0	0	0	BL1	0	baseline
32	5	0.0	5	0	0	0	0	BL1	0	baseline
33	5	0.0	5	0	0	0	0	BL1	0	baseline
34	5	0.0	5	0	0	0	0	BL1	0	baseline
35	5	0.0	5	0	0	0	0	BL1	0	baseline
36	5	0.0	5	0	0	0	0	BL1	0	baseline
37	5	0.0	5	0	0	0	0	BL1	0	baseline
38	5	0.0	5	0	0	0	0	BL1	0	baseline
39	5	0.0	5	0	0	0	0	BL1	0	baseline
40	5	0.0	5	0	0	0	0	BL1	0	baseline
41	5	0.0	5	0	0	0	0	BL1	0	baseline
42	5	0.0	5	0	0	0	0	BL1	0	baseline
43	5	0.0	5	0	0	0	0	BL1	0	baseline
44	5	0.0	5	0	0	0	0	BL1	0	baseline
45	5	0.0	5	0	0	0	0	BL1	0	baseline
46	5	0.0	5	0	0	0	0	BL1	0	baseline
47	5	0.0	5	0	0	0	0	BL1	0	baseline
48	5	0.0	5	0	0	0	0	BL1	0	baseline
49	5	0.0	5	0	0	0	0	BL1	0	baseline
50	5	0.0	5	0	0	0	0	BL1	0	baseline
51	5	0.0	5	0	0	0	0	BL1	0	baseline
52	5	0.0	5	0	0	0	0	BL1	0	baseline
53	5	0.0	5	0	0	0	0	BL1	0	baseline
54	5	0.0	5	0	0	0	0	BL1	0	baseline
55	5	0.0	5	0	0	0	0	BL1	0	baseline
56	5	0.0	5	0	0	0	0	BL1	0	baseline
57	5	0.0	5	0	0	0	0	BL1	0	baseline
58	5	0.0	5	0	0	0	0	BL1	0	baseline
59	5	0.0	5	0	0	0	0	BL1	0	baseline
60	5	0.0	5	0	0	0	0	BL1	0	baseline
61	5	0.0	5	0	0	0	0	BL1	0	baseline
62	5	0.0	5	0	0	0	0	BL1	0	baseline
63	5	0.0	5	0	0	0	0	BL1	0	baseline
64	5	0.0	5	0	0	0	0	BL1	0	baseline
65	5	0.0	5	0	0	0	0	BL1	0	baseline
66	5	0.0	5	0	0	0	0	BL1	0	baseline
67	5	0.0	5	0	0	0	0	BL1	0	baseline
68	5	0.0	5	0	0	0	0	BL1	0	baseline
69	5	0.0	5	0	0	0	0	BL1	0	baseline
70	5	0.0	5	0	0	0	0	BL1	0	baseline
71	5	0.0	5	0	0	0	0	BL1	0	baseline
72	5	0.0	5	0	0	0	0	BL1	0	baseline
73	5	0.0	5	0	0	0	0	BL1	0	baseline
74	5	0.0	5	0	0	0	0	BL1	0	baseline
75	5	0.0	5	0	0	0	0	BL1	0	baseline
76	5	0.0	5	0	0	0	0	BL1	0	baseline
77	5	0.0	5	0	0	0	0	BL1	0	baseline
78	5	0.0	5	0	0	0	0	BL1	0	baseline
79	5	0.0	5	0	0	0	0	BL1	0	baseline
80	5	0.0	5	0	0	0	0	BL1	0	baseline
81	5	0.0	5	0	0	0	0	BL1	0	baseline
82	5	0.0	5	0	0	0	0	BL1	0	baseline
83	5	0.0	5	0	0	0	0	BL1	0	baseline
84	5	0.0	5	0	0	0	0	BL1	0	baseline
85	5	0.0	5	0	0	0	0	BL1	0	baseline
86	5	0.0	5	0	0	0	0	BL1	0	baseline
87	5	0.0	5	0	0	0	0	BL1	0	baseline
88	5	0.0	5	0	0	0	0	BL1	0	baseline
89	5	0.0	5	0	0	0	0	BL1	0	baseline
90	5	0.0	5	0	0	0	0	BL1	0	baseline
91	5	0.0	5	0	0	0	0	BL1	0	baseline
92	5	0.0	5	0	0	0	0	BL1	0	baseline
93	5	0.0	5	0	0	0	0	BL1	0	baseline
94	5	0.0	5	0	0	0	0	BL1	0	baseline
95	5	0.0	5	0	0	0	0	BL1	0	baseline
96	5	0.0	5	0	0	0	0	BL1	0	baseline
97	5	0.0	5	0	0	0	0	BL1	0	baseline
98	5	0.0	5	0	0	0	0	BL1	0	baseline
99	5	0.0	5	0	0	0	0	BL1	0	baseline
100	5	0.0	5	0	0	0	0	BL1	0	baseline
0	5	0.05	4	1	0	0	0	BL1	1	baseline
1	5	0.15	2	3	0	0	0	BL1	1	baseline
2	5	0.2	1	4	0	0	0	BL1	1	baseline
3	5	0.35	1	1	3	0	0	BL1	1	baseline
4	5	0.5	1	0	2	2	0	BL1	1	baseline
5	5	0.7	0	0	1	4	0	BL1	1	baseline
6	5	0.9	0	0	0	2	3	BL1	1	baseline
7	5	0.8	0	0	1	2	2	BL1	1	baseline
8	5	0.95	0	0	0	1	4	BL1	1	baseline
9	5	1.0	0	0	0	0	5	BL1	1	baseline
10	5	1.0	0	0	0	0	5	BL1	1	baseline
11	5	1.0	0	0	0	0	5	BL1	1	baseline
12	5	1.0	0	0	0	0	5	BL1	1	baseline
13	5	1.0	0	0	0	0	5	BL1	1	baseline
14	5	1.0	0	0	0	0	5	BL1	1	baseline
15	5	1.0	0	0	0	0	5	BL1	1	baseline
16	5	1.0	0	0	0	0	5	BL1	1	baseline
17	5	1.0	0	0	0	0	5	BL1	1	baseline
18	5	1.0	0	0	0	0	5	BL1	1	baseline
19	5	1.0	0	0	0	0	5	BL1	1	baseline
20	5	1.0	0	0	0	0	5	BL1	1	baseline
21	5	1.0	0	0	0	0	5	BL1	1	baseline
22	5	1.0	0	0	0	0	5	BL1	1	baseline
23	5	1.0	0	0	0	0	5	BL1	1	baseline
24	5	1.0	0	0	0	0	5	BL1	1	baseline
25	5	1.0	0	0	0	0	5	BL1	1	baseline
26	5	1.0	0	0	0	0	5	BL1	1	baseline
27	5	1.0	0	0	0	0	5	BL1	1	baseline
28	5	1.0	0	0	0	0	5	BL1	1	baseline
29	5	1.0	0	0	0	0	5	BL1	1	baseline
30	5	1.0	0	0	0	0	5	BL1	1	baseline
31	5	1.0	0	0	0	0	5	BL1	1	baseline
32	5	1.0	0	0	0	0	5	BL1	1	baseline
33	5	1.0	0	0	0	0	5	BL1	1	baseline
34	5	1.0	0	0	0	0	5	BL1	1	baseline
35	5	1.0	0	0	0	0	5	BL1	1	baseline
36	5	1.0	0	0	0	0	5	BL1	1	baseline
37	5	1.0	0	0	0	0	5	BL1	1	baseline
38	5	1.0	0	0	0	0	5	BL1	1	baseline
39	5	1.0	0	0	0	0	5	BL1	1	baseline
40	5	1.0	0	0	0	0	5	BL1	1	baseline
41	5	1.0	0	0	0	0	5	BL1	1	baseline
42	5	1.0	0	0	0	0	5	BL1	1	baseline
43	5	1.0	0	0	0	0	5	BL1	1	baseline
44	5	1.0	0	0	0	0	5	BL1	1	baseline
45	5	1.0	0	0	0	0	5	BL1	1	baseline
46	5	1.0	0	0	0	0	5	BL1	1	baseline
47	5	1.0	0	0	0	0	5	BL1	1	baseline
48	5	1.0	0	0	0	0	5	BL1	1	baseline
49	5	1.0	0	0	0	0	5	BL1	1	baseline
50	5	1.0	0	0	0	0	5	BL1	1	baseline
51	5	1.0	0	0	0	0	5	BL1	1	baseline
52	5	1.0	0	0	0	0	5	BL1	1	baseline
53	5	1.0	0	0	0	0	5	BL1	1	baseline
54	5	1.0	0	0	0	0	5	BL1	1	baseline
55	5	1.0	0	0	0	0	5	BL1	1	baseline
56	5	1.0	0	0	0	0	5	BL1	1	baseline
57	5	1.0	0	0	0	0	5	BL1	1	baseline
58	5	1.0	0	0	0	0	5	BL1	1	baseline
59	5	1.0	0	0	0	0	5	BL1	1	baseline
60	5	1.0	0	0	0	0	5	BL1	1	baseline
61	5	1.0	0	0	0	0	5	BL1	1	baseline
62	5	1.0	0	0	0	0	5	BL1	1	baseline
63	5	1.0	0	0	0	0	5	BL1	1	baseline
64	5	1.0	0	0	0	0	5	BL1	1	baseline
65	5	1.0	0	0	0	0	5	BL1	1	baseline
66	5	1.0	0	0	0	0	5	BL1	1	baseline
67	5	1.0	0	0	0	0	5	BL1	1	baseline
68	5	1.0	0	0	0	0	5	BL1	1	baseline
69	5	1.0	0	0	0	0	5	BL1	1	baseline
70	5	1.0	0	0	0	0	5	BL1	1	baseline
71	5	1.0	0	0	0	0	5	BL1	1	baseline
72	5	1.0	0	0	0	0	5	BL1	1	baseline
73	5	1.0	0	0	0	0	5	BL1	1	baseline
74	5	1.0	0	0	0	0	5	BL1	1	baseline
75	5	1.0	0	0	0	0	5	BL1	1	baseline
76	5	1.0	0	0	0	0	5	BL1	1	baseline
77	5	1.0	0	0	0	0	5	BL1	1	baseline
78	5	1.0	0	0	0	0	5	BL1	1	baseline
79	5	1.0	0	0	0	0	5	BL1	1	baseline
80	5	1.0	0	0	0	0	5	BL1	1	baseline
81	5	1.0	0	0	0	0	5	BL1	1	baseline
82	5	1.0	0	0	0	0	5	BL1	1	baseline
83	5	1.0	0	0	0	0	5	BL1	1	baseline
84	5	1.0	0	0	0	0	5	BL1	1	baseline
85	5	1.0	0	0	0	0	5	BL1	1	baseline
86	5	1.0	0	0	0	0	5	BL1	1	baseline
87	5	1.0	0	0	0	0	5	BL1	1	baseline
88	5	1.0	0	0	0	0	5	BL1	1	baseline
89	5	1.0	0	0	0	0	5	BL1	1	baseline
90	5	1.0	0	0	0	0	5	BL1	1	baseline
91	5	1.0	0	0	0	0	5	BL1	1	baseline
92	5	1.0	0	0	0	0	5	BL1	1	baseline
93	5	1.0	0	0	0	0	5	BL1	1	baseline
94	5	1.0	0	0	0	0	5	BL1	1	baseline
95	5	1.0	0	0	0	0	5	BL1	1	baseline
96	5	1.0	0	0	0	0	5	BL1	1	baseline
97	5	1.0	0	0	0	0	5	BL1	1	baseline
98	5	1.0	0	0	0	0	5	BL1	1	baseline
99	5	1.0	0	0	0	0	5	BL1	1	baseline
100	5	1.0	0	0	0	0	5	BL1	1	baseline
0	5	0.05	4	1	0	0	0	BL1	2	baseline
1	5	0.0	5	0	0	0	0	BL1	2	baseline
2	5	0.0	5	0	0	0	0	BL1	2	baseline
3	5	0.0	5	0	0	0	0	BL1	2	baseline
4	5	0.0	5	0	0	0	0	BL1	2	baseline
5	5	0.0	5	0	0	0	0	BL1	2	baseline
6	5	0.0	5	0	0	0	0	BL1	2	baseline
7	5	0.0	5	0	0	0	0	BL1	2	baseline
8	5	0.0	5	0	0	0	0	BL1	2	baseline
9	5	0.0	5	0	0	0	0	BL1	2	baseline
10	5	0.0	5	0	0	0	0	BL1	2	baseline
11	5	0.0	5	0	0	0	0	BL1	2	baseline
12	5	0.0	5	0	0	0	0	BL1	2	baseline
13	5	0.0	5	0	0	0	0	BL1	2	baseline
14	5	0.0	5	0	0	0	0	BL1	2	baseline
15	5	0.0	5	0	0	0	0	BL1	2	baseline
16	5	0.0	5	0	0	0	0	BL1	2	baseline
17	5	0.0	5	0	0	0	0	BL1	2	baseline
18	5	0.0	5	0	0	0	0	BL1	2	baseline
19	5	0.0	5	0	0	0	0	BL1	2	baseline
20	5	0.0	5	0	0	0	0	BL1	2	baseline
21	5	0.0	5	0	0	0	0	BL1	2	baseline
22	5	0.0	5	0	0	0	0	BL1	2	baseline
23	5	0.0	5	0	0	0	0	BL1	2	baseline
24	5	0.0	5	0	0	0	0	BL1	2	baseline
25	5	0.0	5	0	0	0	0	BL1	2	baseline
26	5	0.0	5	0	0	0	0	BL1	2	baseline
27	5	0.0	5	0	0	0	0	BL1	2	baseline
28	5	0.0	5	0	0	0	0	BL1	2	baseline
29	5	0.0	5	0	0	0	0	BL1	2	baseline
30	5	0.0	5	0	0	0	0	BL1	2	baseline
31	5	0.0	5	0	0	0	0	BL1	2	baseline
32	5	0.0	5	0	0	0	0	BL1	2	baseline
33	5	0.0	5	0	0	0	0	BL1	2	baseline
34	5	0.0	5	0	0	0	0	BL1	2	baseline
35	5	0.0	5	0	0	0	0	BL1	2	baseline
36	5	0.0	5	0	0	0	0	BL1	2	baseline
37	5	0.0	5	0	0	0	0	BL1	2	baseline
38	5	0.0	5	0	0	0	0	BL1	2	baseline
39	5	0.0	5	0	0	0	0	BL1	2	baseline
40	5	0.0	5	0	0	0	0	BL1	2	baseline
41	5	0.0	5	0	0	0	0	BL1	2	baseline
42	5	0.0	5	0	0	0	0	BL1	2	baseline
43	5	0.0	5	0	0	0	0	BL1	2	baseline
44	5	0.0	5	0	0	0	0	BL1	2	baseline
45	5	0.0	5	0	0	0	0	BL1	2	baseline
46	5	0.0	5	0	0	0	0	BL1	2	baseline
47	5	0.0	5	0	0	0	0	BL1	2	baseline
48	5	0.0	5	0	0	0	0	BL1	2	baseline
49	5	0.0	5	0	0	0	0	BL1	2	baseline
50	5	0.0	5	0	0	0	0	BL1	2	baseline
51	5	0.0	5	0	0	0	0	BL1	2	baseline
52	5	0.0	5	0	0	0	0	BL1	2	baseline
53	5	0.0	5	0	0	0	0	BL1	2	baseline
54	5	0.0	5	0	0	0	0	BL1	2	baseline
55	5	0.0	5	0	0	0	0	BL1	2	baseline
56	5	0.0	5	0	0	0	0	BL1	2	baseline
57	5	0.0	5	0	0	0	0	BL1	2	baseline
58	5	0.0	5	0	0	0	0	BL1	2	baseline
59	5	0.0	5	0	0	0	0	BL1	2	baseline
60	5	0.0	5	0	0	0	0	BL1	2	baseline
61	5	0.0	5	0	0	0	0	BL1	2	baseline
62	5	0.0	5	0	0	0	0	BL1	2	baseline
63	5	0.0	5	0	0	0	0	BL1	2	baseline
64	5	0.0	5	0	0	0	0	BL1	2	baseline
65	5	0.0	5	0	0	0	0	BL1	2	baseline
66	5	0.0	5	0	0	0	0	BL1	2	baseline
67	5	0.0	5	0	0	0	0	BL1	2	baseline
68	5	0.0	5	0	0	0	0	BL1	2	baseline
69	5	0.0	5	0	0	0	0	BL1	2	baseline
70	5	0.0	5	0	0	0	0	BL1	2	baseline
71	5	0.0	5	0	0	0	0	BL1	2	baseline
72	5	0.0	5	0	0	0	0	BL1	2	baseline
73	5	0.0	5	0	0	0	0	BL1	2	baseline
74	5	0.0	5	0	0	0	0	BL1	2	baseline
75	5	0.0	5	0	0	0	0	BL1	2	baseline
76	5	0.0	5	0	0	0	0	BL1	2	baseline
77	5	0.0	5	0	0	0	0	BL1	2	baseline
78	5	0.0	5	0	0	0	0	BL1	2	baseline
79	5	0.0	5	0	0	0	0	BL1	2	baseline
80	5	0.0	5	0	0	0	0	BL1	2	baseline
81	5	0.0	5	0	0	0	0	BL1	2	baseline
82	5	0.0	5	0	0	0	0	BL1	2	baseline
83	5	0.0	5	0	0	0	0	BL1	2	baseline
84	5	0.0	5	0	0	0	0	BL1	2	baseline
85	5	0.0	5	0	0	0	0	BL1	2	baseline
86	5	0.0	5	0	0	0	0	BL1	2	baseline
87	5	0.0	5	0	0	0	0	BL1	2	baseline
88	5	0.0	5	0	0	0	0	BL1	2	baseline
89	5	0.0	5	0	0	0	0	BL1	2	baseline
90	5	0.0	5	0	0	0	0	BL1	2	baseline
91	5	0.0	5	0	0	0	0	BL1	2	baseline
92	5	0.0	5	0	0	0	0	BL1	2	baseline
93	5	0.0	5	0	0	0	0	BL1	2	baseline
94	5	0.0	5	0	0	0	0	BL1	2	baseline
95	5	0.0	5	0	0	0	0	BL1	2	baseline
96	5	0.0	5	0	0	0	0	BL1	2	baseline
97	5	0.0	5	0	0	0	0	BL1	2	baseline
98	5	0.0	5	0	0	0	0	BL1	2	baseline
99	5	0.0	5	0	0	0	0	BL1	2	baseline
100	5	0.0	5	0	0	0	0	BL1	2	baseline
0	5	0.05	4	1	0	0	0	BL1	3	baseline
1	5	0.2	1	4	0	0	0	BL1	3	baseline
2	5	0.45	0	3	0	2	0	BL1	3	baseline
3	5	0.35	0	3	2	0	0	BL1	3	baseline
4	5	0.75	0	0	0	5	0	BL1	3	baseline
5	5	0.75	0	0	0	5	0	BL1	3	baseline
6	5	1.0	0	0	0	0	5	BL1	3	baseline
7	5	1.0	0	0	0	0	5	BL1	3	baseline
8	5	1.0	0	0	0	0	5	BL1	3	baseline
9	5	1.0	0	0	0	0	5	BL1	3	baseline
10	5	1.0	0	0	0	0	5	BL1	3	baseline
11	5	1.0	0	0	0	0	5	BL1	3	baseline
12	5	1.0	0	0	0	0	5	BL1	3	baseline
13	5	1.0	0	0	0	0	5	BL1	3	baseline
14	5	1.0	0	0	0	0	5	BL1	3	baseline
15	5	1.0	0	0	0	0	5	BL1	3	baseline
16	5	1.0	0	0	0	0	5	BL1	3	baseline
17	5	1.0	0	0	0	0	5	BL1	3	baseline
18	5	1.0	0	0	0	0	5	BL1	3	baseline
19	5	1.0	0	0	0	0	5	BL1	3	baseline
20	5	1.0	0	0	0	0	5	BL1	3	baseline
21	5	1.0	0	0	0	0	5	BL1	3	baseline
22	5	1.0	0	0	0	0	5	BL1	3	baseline
23	5	1.0	0	0	0	0	5	BL1	3	baseline
24	5	1.0	0	0	0	0	5	BL1	3	baseline
25	5	1.0	0	0	0	0	5	BL1	3	baseline
26	5	1.0	0	0	0	0	5	BL1	3	baseline
27	5	1.0	0	0	0	0	5	BL1	3	baseline
28	5	1.0	0	0	0	0	5	BL1	3	baseline
29	5	1.0	0	0	0	0	5	BL1	3	baseline
30	5	1.0	0	0	0	0	5	BL1	3	baseline
31	5	1.0	0	0	0	0	5	BL1	3	baseline
32	5	1.0	0	0	0	0	5	BL1	3	baseline
33	5	1.0	0	0	0	0	5	BL1	3	baseline
34	5	1.0	0	0	0	0	5	BL1	3	baseline
35	5	1.0	0	0	0	0	5	BL1	3	baseline
36	5	1.0	0	0	0	0	5	BL1	3	baseline
37	5	1.0	0	0	0	0	5	BL1	3	baseline
38	5	1.0	0	0	0	0	5	BL1	3	baseline
39	5	1.0	0	0	0	0	5	BL1	3	baseline
40	5	1.0	0	0	0	0	5	BL1	3	baseline
41	5	1.0	0	0	0	0	5	BL1	3	baseline
42	5	1.0	0	0	0	0	5	BL1	3	baseline
43	5	1.0	0	0	0	0	5	BL1	3	baseline
44	5	1.0	0	0	0	0	5	BL1	3	baseline
45	5	1.0	0	0	0	0	5	BL1	3	baseline
46	5	1.0	0	0	0	0	5	BL1	3	baseline
47	5	1.0	0	0	0	0	5	BL1	3	baseline
48	5	1.0	0	0	0	0	5	BL1	3	baseline
49	5	1.0	0	0	0	0	5	BL1	3	baseline
50	5	1.0	0	0	0	0	5	BL1	3	baseline
51	5	1.0	0	0	0	0	5	BL1	3	baseline
52	5	1.0	0	0	0	0	5	BL1	3	baseline
53	5	1.0	0	0	0	0	5	BL1	3	baseline
54	5	1.0	0	0	0	0	5	BL1	3	baseline
55	5	1.0	0	0	0	0	5	BL1	3	baseline
56	5	1.0	0	0	0	0	5	BL1	3	baseline
57	5	1.0	0	0	0	0	5	BL1	3	baseline
58	5	1.0	0	0	0	0	5	BL1	3	baseline
59	5	1.0	0	0	0	0	5	BL1	3	baseline
60	5	1.0	0	0	0	0	5	BL1	3	baseline
61	5	1.0	0	0	0	0	5	BL1	3	baseline
62	5	1.0	0	0	0	0	5	BL1	3	baseline
63	5	1.0	0	0	0	0	5	BL1	3	baseline
64	5	1.0	0	0	0	0	5	BL1	3	baseline
65	5	1.0	0	0	0	0	5	BL1	3	baseline
66	5	1.0	0	0	0	0	5	BL1	3	baseline
67	5	1.0	0	0	0	0	5	BL1	3	baseline
68	5	1.0	0	0	0	0	5	BL1	3	baseline
69	5	1.0	0	0	0	0	5	BL1	3	baseline
70	5	1.0	0	0	0	0	5	BL1	3	baseline
71	5	1.0	0	0	0	0	5	BL1	3	baseline
72	5	1.0	0	0	0	0	5	BL1	3	baseline
73	5	1.0	0	0	0	0	5	BL1	3	baseline
74	5	1.0	0	0	0	0	5	BL1	3	baseline
75	5	1.0	0	0	0	0	5	BL1	3	baseline
76	5	1.0	0	0	0	0	5	BL1	3	baseline
77	5	1.0	0	0	0	0	5	BL1	3	baseline
78	5	1.0	0	0	0	0	5	BL1	3	baseline
79	5	1.0	0	0	0	0	5	BL1	3	baseline
80	5	1.0	0	0	0	0	5	BL1	3	baseline
81	5	1.0	0	0	0	0	5	BL1	3	baseline
82	5	1.0	0	0	0	0	5	BL1	3	baseline
83	5	1.0	0	0	0	0	5	BL1	3	baseline
84	5	1.0	0	0	0	0	5	BL1	3	baseline
85	5	1.0	0	0	0	0	5	BL1	3	baseline
86	5	1.0	0	0	0	0	5	BL1	3	baseline
87	5	1.0	0	0	0	0	5	BL1	3	baseline
88	5	1.0	0	0	0	0	5	BL1	3	baseline
89	5	1.0	0	0	0	0	5	BL1	3	baseline
90	5	1.0	0	0	0	0	5	BL1	3	baseline
91	5	1.0	0	0	0	0	5	BL1	3	baseline
92	5	1.0	0	0	0	0	5	BL1	3	baseline
93	5	1.0	0	0	0	0	5	BL1	3	baseline
94	5	1.0	0	0	0	0	5	BL1	3	baseline
95	5	1.0	0	0	0	0	5	BL1	3	baseline
96	5	1.0	0	0	0	0	5	BL1	3	baseline
97	5	1.0	0	0	0	0	5	BL1	3	baseline
98	5	1.0	0	0	0	0	5	BL1	3	baseline
99	5	1.0	0	0	0	0	5	BL1	3	baseline
100	5	1.0	0	0	0	0	5	BL1	3	baseline
0	5	0.05	4	1	0	0	0	BL1	4	baseline
1	5	0.0	5	0	0	0	0	BL1	4	baseline
2	5	0.0	5	0	0	0	0	BL1	4	baseline
3	5	0.0	5	0	0	0	0	BL1	4	baseline
4	5	0.0	5	0	0	0	0	BL1	4	baseline
5	5	0.0	5	0	0	0	0	BL1	4	baseline
6	5	0.0	5	0	0	0	0	BL1	4	baseline
7	5	0.0	5	0	0	0	0	BL1	4	baseline
8	5	0.0	5	0	0	0	0	BL1	4	baseline
9	5	0.0	5	0	0	0	0	BL1	4	baseline
10	5	0.0	5	0	0	0	0	BL1	4	baseline
11	5	0.0	5	0	0	0	0	BL1	4	baseline
12	5	0.0	5	0	0	0	0	BL1	4	baseline
13	5	0.0	5	0	0	0	0	BL1	4	baseline
14	5	0.0	5	0	0	0	0	BL1	4	baseline
15	5	0.0	5	0	0	0	0	BL1	4	baseline
16	5	0.0	5	0	0	0	0	BL1	4	baseline
17	5	0.0	5	0	0	0	0	BL1	4	baseline
18	5	0.0	5	0	0	0	0	BL1	4	baseline
19	5	0.0	5	0	0	0	0	BL1	4	baseline
20	5	0.0	5	0	0	0	0	BL1	4	baseline
21	5	0.0	5	0	0	0	0	BL1	4	baseline
22	5	0.0	5	0	0	0	0	BL1	4	baseline
23	5	0.0	5	0	0	0	0	BL1	4	baseline
24	5	0.0	5	0	0	0	0	BL1	4	baseline
25	5	0.0	5	0	0	0	0	BL1	4	baseline
26	5	0.0	5	0	0	0	0	BL1	4	baseline
27	5	0.0	5	0	0	0	0	BL1	4	baseline
28	5	0.0	5	0	0	0	0	BL1	4	baseline
29	5	0.0	5	0	0	0	0	BL1	4	baseline
30	5	0.0	5	0	0	0	0	BL1	4	baseline
31	5	0.0	5	0	0	0	0	BL1	4	baseline
32	5	0.0	5	0	0	0	0	BL1	4	baseline
33	5	0.0	5	0	0	0	0	BL1	4	baseline
34	5	0.0	5	0	0	0	0	BL1	4	baseline
35	5	0.0	5	0	0	0	0	BL1	4	baseline
36	5	0.0	5	0	0	0	0	BL1	4	baseline
37	5	0.0	5	0	0	0	0	BL1	4	baseline
38	5	0.0	5	0	0	0	0	BL1	4	baseline
39	5	0.0	5	0	0	0	0	BL1	4	baseline
40	5	0.0	5	0	0	0	0	BL1	4	baseline
41	5	0.0	5	0	0	0	0	BL1	4	baseline
42	5	0.0	5	0	0	0	0	BL1	4	baseline
43	5	0.0	5	0	0	0	0	BL1	4	baseline
44	5	0.0	5	0	0	0	0	BL1	4	baseline
45	5	0.0	5	0	0	0	0	BL1	4	baseline
46	5	0.0	5	0	0	0	0	BL1	4	baseline
47	5	0.0	5	0	0	0	0	BL1	4	baseline
48	5	0.0	5	0	0	0	0	BL1	4	baseline
49	5	0.0	5	0	0	0	0	BL1	4	baseline
50	5	0.0	5	0	0	0	0	BL1	4	baseline
51	5	0.0	5	0	0	0	0	BL1	4	baseline
52	5	0.0	5	0	0	0	0	BL1	4	baseline
53	5	0.0	5	0	0	0	0	BL1	4	baseline
54	5	0.0	5	0	0	0	0	BL1	4	baseline
55	5	0.0	5	0	0	0	0	BL1	4	baseline
56	5	0.0	5	0	0	0	0	BL1	4	baseline
57	5	0.0	5	0	0	0	0	BL1	4	baseline
58	5	0.0	5	0	0	0	0	BL1	4	baseline
59	5	0.0	5	0	0	0	0	BL1	4	baseline
60	5	0.0	5	0	0	0	0	BL1	4	baseline
61	5	0.0	5	0	0	0	0	BL1	4	baseline
62	5	0.0	5	0	0	0	0	BL1	4	baseline
63	5	0.0	5	0	0	0	0	BL1	4	baseline
64	5	0.0	5	0	0	0	0	BL1	4	baseline
65	5	0.0	5	0	0	0	0	BL1	4	baseline
66	5	0.0	5	0	0	0	0	BL1	4	baseline
67	5	0.0	5	0	0	0	0	BL1	4	baseline
68	5	0.0	5	0	0	0	0	BL1	4	baseline
69	5	0.0	5	0	0	0	0	BL1	4	baseline
70	5	0.0	5	0	0	0	0	BL1	4	baseline
71	5	0.0	5	0	0	0	0	BL1	4	baseline
72	5	0.0	5	0	0	0	0	BL1	4	baseline
73	5	0.0	5	0	0	0	0	BL1	4	baseline
74	5	0.0	5	0	0	0	0	BL1	4	baseline
75	5	0.0	5	0	0	0	0	BL1	4	baseline
76	5	0.0	5	0	0	0	0	BL1	4	baseline
77	5	0.0	5	0	0	0	0	BL1	4	baseline
78	5	0.0	5	0	0	0	0	BL1	4	baseline
79	5	0.0	5	0	0	0	0	BL1	4	baseline
80	5	0.0	5	0	0	0	0	BL1	4	baseline
81	5	0.0	5	0	0	0	0	BL1	4	baseline
82	5	0.0	5	0	0	0	0	BL1	4	baseline
83	5	0.0	5	0	0	0	0	BL1	4	baseline
84	5	0.0	5	0	0	0	0	BL1	4	baseline
85	5	0.0	5	0	0	0	0	BL1	4	baseline
86	5	0.0	5	0	0	0	0	BL1	4	baseline
87	5	0.0	5	0	0	0	0	BL1	4	baseline
88	5	0.0	5	0	0	0	0	BL1	4	baseline
89	5	0.0	5	0	0	0	0	BL1	4	baseline
90	5	0.0	5	0	0	0	0	BL1	4	baseline
91	5	0.0	5	0	0	0	0	BL1	4	baseline
92	5	0.0	5	0	0	0	0	BL1	4	baseline
