	Allele_001	Allele_002	Allele_003	Allele_004	Allele_005	Allele_006	Allele_007	Allele_008	Allele_009	Allele_010	Allele_011	Allele_012	Allele_013	Allele_014	Allele_015	Allele_016	Allele_017	Allele_018	Allele_019	Allele_020	Allele_021	Allele_022	Allele_023	Allele_024	Allele_025	Allele_026	Allele_027	Allele_028	Allele_029	Allele_030	Allele_031	Allele_032	Allele_033	Allele_034	Allele_035	Allele_036	Allele_037	Allele_038	Allele_039	Allele_040	Allele_041	Allele_042	Allele_043	Allele_044	Allele_045	Allele_046	Allele_047	Allele_048	Allele_049	Allele_050	Allele_051	Allele_052	Allele_053	Allele_054	Allele_055
Allele_021	0.012195121951219513	0.024390243902439025	0.0	0.036585365853658534	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.0	0.0	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.0	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.036585365853658534	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.0	0.975609756097561	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.9878048780487805	0.012195121951219513	0.024390243902439025	0.06097560975609756	0.06097560975609756	0.0
Allele_022	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_023	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_024	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_025	0.036585365853658534	0.04878048780487805	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.0	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.036585365853658534	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.975609756097561	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.975609756097561	0.012195121951219513	0.024390243902439025	0.06097560975609756	0.06097560975609756	0.024390243902439025
Allele_026	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_027	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_028	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_029	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_030	0.04878048780487805	0.06097560975609756	0.036585365853658534	0.04878048780487805	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.036585365853658534	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.0	0.036585365853658534	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.036585365853658534	0.975609756097561	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.036585365853658534	0.036585365853658534	0.975609756097561	0.024390243902439025	0.036585365853658534	0.06097560975609756	0.06097560975609756	0.036585365853658534
Allele_031	0.036585365853658534	0.04878048780487805	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.036585365853658534	0.0	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.975609756097561	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.975609756097561	0.012195121951219513	0.024390243902439025	0.06097560975609756	0.06097560975609756	0.024390243902439025
Allele_032	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_033	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_034	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
Allele_035	0.024390243902439025	0.036585365853658534	0.012195121951219513	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	0.024390243902439025	0.012195121951219513	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.0	0.0	0.0	0.012195121951219513	0.012195121951219513	0.975609756097561	0.0	0.012195121951219513	0.04878048780487805	0.04878048780487805	0.012195121951219513
